,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
119,chicago,"LAKESHORE EAST SERENITY/2 BED / 2 BATH - GRANITE, SS, GAS RANGE, W/D",2017-03-17 14:24,2.0,,2718.0,6044472724,John_Control,https://chicago.craigslist.org/chc/apa/6044472724.html,https://chicago.craigslist.org/reply/chi/apa/6044472724,,
12,chicago,1250 S Michigan Ave Unit 1502,2017-03-17 15:38,2.0,,2700.0,6005993662,Jane_Treat_Low,https://chicago.craigslist.org/chc/apa/6005993662.html,https://chicago.craigslist.org/reply/chi/apa/6005993662,,
40,chicago,Stunning Penthouse 2 Bed 2 Bath Condo w/ Private Rooftop Deck,2017-03-17 15:28,2.0,,2000.0,6028170510,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6028170510.html,https://chicago.craigslist.org/reply/chi/apa/6028170510,,
95,chicago,"Priced right, ready for showing. Available now!",2017-03-17 15:26,1.0,,1599.0,6038182647,John_Treat_Low,https://chicago.craigslist.org/chc/apa/6038182647.html,https://chicago.craigslist.org/reply/chi/apa/6038182647,,
36,chicago,Terrific 1BR-Ren-SSA-DW-HDWD-Pet Friendly - 625 Wrightwood,2017-03-17 15:36,1.0,,1595.0,6033529716,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6033529716.html,https://chicago.craigslist.org/reply/chi/apa/6033529716,,
35,chicago,Terrific 1BR-Ren-SSA-DW-HDWD-Pet Friendly - 625 Wrightwood,2017-03-17 15:36,1.0,,1595.0,6033539918,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6033539918.html,https://chicago.craigslist.org/reply/chi/apa/6033539918,,
66,chicago,2 bedroom Ground floor apartment east of Damen.....,2017-03-17 15:15,2.0,,1400.0,6048291468,Jane_Treat_Low,https://chicago.craigslist.org/chc/apa/6048291468.html,https://chicago.craigslist.org/reply/chi/apa/6048291468,,
102,chicago,"Two Bedroom Two Bath, Amazing!",2017-03-17 15:05,2.0,,2450.0,6031984965,John_Control,https://chicago.craigslist.org/chc/apa/6031984965.html,https://chicago.craigslist.org/reply/chi/apa/6031984965,,
17,chicago,Renovated 2BR Avail. 5/1-HDWD-DW-No Sec.Dep - 3720 N. Pine Grove,2017-03-17 15:37,2.0,,2095.0,6036592593,John_Treat_High,https://chicago.craigslist.org/chc/apa/6036592593.html,https://chicago.craigslist.org/reply/chi/apa/6036592593,,
86,chicago,Commuter's Dream - 32 min to Loop by train!  Large 2 BR/1 BA,2017-03-17 15:24,2.0,1100.0,1125.0,6035117240,Jane_Control,https://chicago.craigslist.org/wcl/apa/6035117240.html,https://chicago.craigslist.org/reply/chi/apa/6035117240,,
35,chicago,Spacious Updated Edgewater 1 Bed Condo w/ Dishwasher!,2017-03-17 15:34,1.0,,1300.0,6035110390,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6035110390.html,https://chicago.craigslist.org/reply/chi/apa/6035110390,,
41,chicago,LARGE 1 bedroom !!! fully renovated,2017-03-17 15:32,1.0,815.0,1170.0,6044851432,Jane_Control,https://chicago.craigslist.org/nwc/apa/6044851432.html,https://chicago.craigslist.org/reply/chi/apa/6044851432,,
85,chicago,Great 2 bedroom! Heat included. Dishwasher.,2017-03-17 15:24,2.0,,1375.0,6048305020,Jane_Control,https://chicago.craigslist.org/chc/apa/6048305020.html,https://chicago.craigslist.org/reply/chi/apa/6048305020,,
115,chicago,"Gut Rehab Small 1 bed, Granite, Free heat, Avail 4/1",2017-03-17 15:20,1.0,,1280.0,6032466032,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6032466032.html,https://chicago.craigslist.org/reply/chi/apa/6032466032,,
3,chicago,Near West Loop True 2BR/2BA! Parking AVAILABLE! East Facing Balcony,2017-03-17 15:46,2.0,1350.0,2200.0,6037985630,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6037985630.html,https://chicago.craigslist.org/reply/chi/apa/6037985630,,
63,chicago,NEW RENOVATIONS!! Fantastic 1BR-SSA-DW-Parking!  696 Elm Place,2017-03-17 15:29,1.0,,1350.0,6025291745,John_Treat_High,https://chicago.craigslist.org/chc/apa/6025291745.html,https://chicago.craigslist.org/reply/chi/apa/6025291745,,
