,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
111,sandiego,Special***Spacious 1bd/1ba in pet friendly complex,2017-03-17 12:29,1.0,780.0,1500.0,6048219127,Jane_Control,https://sandiego.craigslist.org/csd/apa/6048219127.html,https://sandiego.craigslist.org/reply/sdo/apa/6048219127,,
113,sandiego,3626 42 St #1,2017-03-17 11:18,1.0,,1100.0,6048100854,Jane_Control,https://sandiego.craigslist.org/csd/apa/6048100854.html,https://sandiego.craigslist.org/reply/sdo/apa/6048100854,,
48,sandiego,NICE APARTMENT $2300/MONTH!! 1BR | 1BA,2017-03-17 12:45,1.0,,2300.0,6018511029,Jane_Control,https://sandiego.craigslist.org/csd/apa/6018511029.html,https://sandiego.craigslist.org/reply/sdo/apa/6018511029,,
14,sandiego,"Amazing Mountain View 1x1 w $199 Deposit, Garage & Vaulted Ceilings!",2017-03-17 13:45,1.0,745.0,1890.0,6048336635,Jane_Control,https://sandiego.craigslist.org/nsd/apa/6048336635.html,https://sandiego.craigslist.org/reply/sdo/apa/6048336635,,
0,sandiego,Small duplex; parking; washer & dryer in unit,2017-03-17 13:53,1.0,,1525.0,6045233979,Jane_Control,https://sandiego.craigslist.org/csd/apa/6045233979.html,https://sandiego.craigslist.org/reply/sdo/apa/6045233979,,
69,sandiego,"Submit Service Requests Online, Community Laundry Center, Pet Friendly",2017-03-17 11:51,1.0,655.0,1443.0,6013779713,Jane_Control,https://sandiego.craigslist.org/ssd/apa/6013779713.html,https://sandiego.craigslist.org/reply/sdo/apa/6013779713,,
72,sandiego,1.5 Miles to the Ocean - 2BR & 1 BA Rental,2017-03-17 00:32,2.0,800.0,1400.0,6031482777,Jane_Treat_High,https://sandiego.craigslist.org/nsd/apa/6031482777.html,https://sandiego.craigslist.org/reply/sdo/apa/6031482777,,
76,sandiego,Furnished - Flexible 4 to 8 month lease! STARTING SEPT #912,2017-03-16 08:32,2.0,1010.0,3500.0,6036657958,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6036657958.html,https://sandiego.craigslist.org/reply/sdo/apa/6036657958,,
26,sandiego,North Pacific Beach One Bed One Bath at 954 Wilbur Avenue,2017-03-17 13:37,1.0,,1695.0,6042373354,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6042373354.html,https://sandiego.craigslist.org/reply/sdo/apa/6042373354,,
72,sandiego,4150 36 St #3,2017-03-17 11:43,1.0,,1100.0,6048143491,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6048143491.html,https://sandiego.craigslist.org/reply/sdo/apa/6048143491,,
76,sandiego,4150 36 St #3,2017-03-17 11:38,1.0,,1100.0,6048135139,Jane_Treat_High,https://sandiego.craigslist.org/csd/apa/6048135139.html,https://sandiego.craigslist.org/reply/sdo/apa/6048135139,,
23,sandiego,"$1,295.00 /2Br/1Bth Apt",2017-03-17 13:10,2.0,900.0,1295.0,6048283684,Jane_Treat_High,https://sandiego.craigslist.org/ssd/apa/6048283684.html,https://sandiego.craigslist.org/reply/sdo/apa/6048283684,,
32,sandiego,2BD/1BA - Remodeled,2017-03-17 10:54,2.0,735.0,1395.0,6048057897,Jane_Treat_High,https://sandiego.craigslist.org/esd/apa/6048057897.html,https://sandiego.craigslist.org/reply/sdo/apa/6048057897,,
32,sandiego,2bd 2ba In Small Gated Community,2017-03-17 13:22,2.0,975.0,1600.0,6048290807,Jane_Treat_High,https://sandiego.craigslist.org/ssd/apa/6048290807.html,https://sandiego.craigslist.org/reply/sdo/apa/6048290807,,
