,Listing_Title,Posting_Date,city,posting_ID,full_URL,Bedrooms,Sqft,Price,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN
76,285 Turk - Newly Renovated Jr 1 Bedroom,2017-02-20 23:23,sanfrancisco,6012836540,https://sfbay.craigslist.org/sfc/apa/6012836540.html,1.0,,2250.0,https://sfbay.craigslist.org/reply/sfo/apa/6012836540,
77,285 Turk - Newly Renovated Jr 1 Bedroom,2017-02-20 23:22,sanfrancisco,6012836425,https://sfbay.craigslist.org/sfc/apa/6012836425.html,1.0,,2250.0,https://sfbay.craigslist.org/reply/sfo/apa/6012836425,
78,"Upscale, Large One Bedroom",2017-02-20 21:20,sanfrancisco,6002638367,https://sfbay.craigslist.org/sfc/apa/6002638367.html,1.0,800.0,2200.0,https://sfbay.craigslist.org/reply/sfo/apa/6002638367,
79,~*~*~ 1 Wood Street #12 ~ Available! ~*~*~,2017-02-20 20:59,sanfrancisco,6012767929,https://sfbay.craigslist.org/sfc/apa/6012767929.html,1.0,,2485.0,https://sfbay.craigslist.org/reply/sfo/apa/6012767929,
80,Awesome Victorian  Jnr 1br,2017-02-20 20:57,sanfrancisco,6005559427,https://sfbay.craigslist.org/sfc/apa/6005559427.html,1.0,,2345.0,https://sfbay.craigslist.org/reply/sfo/apa/6005559427,
81,2 BRS NEAR GREAT LOCATIONS,2017-02-20 20:39,sanfrancisco,6012734297,https://sfbay.craigslist.org/sfc/apa/6012734297.html,2.0,,2350.0,https://sfbay.craigslist.org/reply/sfo/apa/6012734297,
82,"BachelorPad, Furnished/Modern, Patio&Backyard;, Dog Run. by UCSF.",2017-02-20 20:24,sanfrancisco,5990264941,https://sfbay.craigslist.org/sfc/apa/5990264941.html,1.0,,2500.0,https://sfbay.craigslist.org/reply/sfo/apa/5990264941,
83,"BachelorPad, Furnished, Modern, Backyard, Dog Run. Golden Gate Heights",2017-02-20 20:24,sanfrancisco,5987184238,https://sfbay.craigslist.org/sfc/apa/5987184238.html,1.0,,2500.0,https://sfbay.craigslist.org/reply/sfo/apa/5987184238,
84,"Walk to restaurants, parks, SFPL library, and MUNI",2017-02-20 20:15,sanfrancisco,6012719268,https://sfbay.craigslist.org/sfc/apa/6012719268.html,2.0,1000.0,2450.0,https://sfbay.craigslist.org/reply/sfo/apa/6012719268,
85,Beautiful and Charming Extra Large Studio Apt.,2017-02-20 20:15,sanfrancisco,6012737872,https://sfbay.craigslist.org/sfc/apa/6012737872.html,1.0,,2350.0,https://sfbay.craigslist.org/reply/sfo/apa/6012737872,
86,1 Br Noe Valley - Short Term,2017-02-20 20:14,sanfrancisco,6012724590,https://sfbay.craigslist.org/sfc/apa/6012724590.html,1.0,400.0,2400.0,https://sfbay.craigslist.org/reply/sfo/apa/6012724590,
87,Large One Bedroom Located Near Everything,2017-02-20 19:50,sanfrancisco,6012706759,https://sfbay.craigslist.org/sfc/apa/6012706759.html,1.0,500.0,2175.0,https://sfbay.craigslist.org/reply/sfo/apa/6012706759,
88,Two Bedrooms In-law Unit,2017-02-20 19:49,sanfrancisco,6012717411,https://sfbay.craigslist.org/sfc/apa/6012717411.html,2.0,,2300.0,https://sfbay.craigslist.org/reply/sfo/apa/6012717411,
89,Inner Richmond(Edward/Arguello) Remodeled  1 br Apt. near USF/GGP,2017-02-20 18:15,sanfrancisco,5971005856,https://sfbay.craigslist.org/sfc/apa/5971005856.html,1.0,,2500.0,https://sfbay.craigslist.org/reply/sfo/apa/5971005856,
90,"1-br + living rm, hardwd flrs, laundry",2017-02-20 18:11,sanfrancisco,5993858589,https://sfbay.craigslist.org/sfc/apa/5993858589.html,1.0,,2350.0,https://sfbay.craigslist.org/reply/sfo/apa/5993858589,
91,"Large 1br, living rm, pkg & laundry in building",2017-02-20 18:09,sanfrancisco,5978232324,https://sfbay.craigslist.org/sfc/apa/5978232324.html,1.0,,2295.0,https://sfbay.craigslist.org/reply/sfo/apa/5978232324,
92,One Bedroom Steps from Golden Gate Park,2017-02-20 17:38,sanfrancisco,6012576218,https://sfbay.craigslist.org/sfc/apa/6012576218.html,1.0,,2395.0,https://sfbay.craigslist.org/reply/sfo/apa/6012576218,
93,Beautiful Edwardian. Family Owned.,2017-02-20 17:24,sanfrancisco,5995698682,https://sfbay.craigslist.org/sfc/apa/5995698682.html,1.0,500.0,2375.0,https://sfbay.craigslist.org/reply/sfo/apa/5995698682,
94,LG- Corner Ap*Sunny-Modern-Elev-Carpet-Laundry*Garage available,2017-02-20 16:17,sanfrancisco,6004114406,https://sfbay.craigslist.org/sfc/apa/6004114406.html,1.0,,2400.0,https://sfbay.craigslist.org/reply/sfo/apa/6004114406,
95,Spacious 1 bedroom located in the heart of Noe Valley,2017-02-20 15:49,sanfrancisco,6012450571,https://sfbay.craigslist.org/sfc/apa/6012450571.html,1.0,750.0,2495.0,https://sfbay.craigslist.org/reply/sfo/apa/6012450571,
96,SF Beautiful Two Bedroom One Bath In the Great Location,2017-02-20 15:32,sanfrancisco,6012427658,https://sfbay.craigslist.org/sfc/apa/6012427658.html,2.0,,2400.0,https://sfbay.craigslist.org/reply/sfo/apa/6012427658,
97,SoMa Bedrooms Available,2017-02-20 15:05,sanfrancisco,5974117319,https://sfbay.craigslist.org/sfc/apa/5974117319.html,2.0,,2000.0,https://sfbay.craigslist.org/reply/sfo/apa/5974117319,
