,Bedrooms,Listing_Title,Posting_Date,Price,Reply_contact_info_link,Sqft,city,full_URL,posting_ID
71,1.0,One of a kind 1bed + den Anhalt villa,2017-03-16 11:05,3595.0,https://seattle.craigslist.org/reply/sea/apa/6046665175,1043.0,seattle,https://seattle.craigslist.org/see/apa/6046665175.html,6046665175
73,1.0,Stunning Anhalt villa with water views on Queen Anne,2017-03-16 10:43,3595.0,https://seattle.craigslist.org/reply/sea/apa/6046628406,1043.0,seattle,https://seattle.craigslist.org/see/apa/6046628406.html,6046628406
95,1.0,Luxury corner apartment with a spacious patio!,2017-03-15 15:42,3595.0,https://seattle.craigslist.org/reply/sea/apa/6045644792,1043.0,seattle,https://seattle.craigslist.org/see/apa/6045644792.html,6045644792
99,1.0,"Villa Franca: Anhalt homes, steeped in history",2017-03-15 14:49,3595.0,https://seattle.craigslist.org/reply/sea/apa/6045573524,1043.0,seattle,https://seattle.craigslist.org/see/apa/6045573524.html,6045573524
102,1.0,Jewel box of Queen Anne is at Villa Franca,2017-03-15 13:28,3595.0,https://seattle.craigslist.org/reply/sea/apa/6045470826,1043.0,seattle,https://seattle.craigslist.org/see/apa/6045470826.html,6045470826
103,1.0,"Queen Anne hidden gem, 1bd + large den w/ water views",2017-03-15 13:13,3595.0,https://seattle.craigslist.org/reply/sea/apa/6045449296,1043.0,seattle,https://seattle.craigslist.org/see/apa/6045449296.html,6045449296
1,2.0,Don't miss our SPECIAL! Limited time only! $1320 for 2 bedr 1 bath!,2017-03-17 13:37,1380.0,https://seattle.craigslist.org/reply/sea/apa/6029749831,920.0,seattle,https://seattle.craigslist.org/sno/apa/6029749831.html,6029749831
2,2.0,Bright & spacious 2 bedr 1 bath is coming soon! Pre-lease today! W/D!,2017-03-17 13:36,1355.0,https://seattle.craigslist.org/reply/sea/apa/6029752866,920.0,seattle,https://seattle.craigslist.org/sno/apa/6029752866.html,6029752866
3,2.0,Easy Freeway Access and Close Shopping Centers!,2017-03-17 13:36,1340.0,https://seattle.craigslist.org/reply/sea/apa/6048308380,970.0,seattle,https://seattle.craigslist.org/tac/apa/6048308380.html,6048308380
4,2.0,Washers And Dryers In Every Home!,2017-03-17 13:36,1481.0,https://seattle.craigslist.org/reply/sea/apa/6048322735,1040.0,seattle,https://seattle.craigslist.org/oly/apa/6048322735.html,6048322735
6,2.0,Looking to move in June? We have one for you! Great 2 bedr 1 bath!,2017-03-17 13:35,1445.0,https://seattle.craigslist.org/reply/sea/apa/6029779860,920.0,seattle,https://seattle.craigslist.org/sno/apa/6029779860.html,6029779860
8,2.0,Spacious 2 bedr 1 bath on a ground floor! Has a courtyard view! W/D!,2017-03-17 13:35,1345.0,https://seattle.craigslist.org/reply/sea/apa/6029774212,920.0,seattle,https://seattle.craigslist.org/sno/apa/6029774212.html,6029774212
9,2.0,Two Bedrooms One Bath!  Sunset Park call us today and take a tour!,2017-03-17 13:34,1450.0,https://seattle.craigslist.org/reply/sea/apa/6045235856,913.0,seattle,https://seattle.craigslist.org/see/apa/6045235856.html,6045235856
12,2.0,"Welcome home... Spacious 2BR apt! NEW features, Enjoy Sparkling Pool",2017-03-17 13:33,1120.0,https://seattle.craigslist.org/reply/sea/apa/6048305707,800.0,seattle,https://seattle.craigslist.org/skc/apa/6048305707.html,6048305707
13,2.0,2 Bedroom with garage,2017-03-17 13:33,1000.0,https://seattle.craigslist.org/reply/sea/apa/6048318593,,seattle,https://seattle.craigslist.org/tac/apa/6048318593.html,6048318593
15,2.0,Cozy ~2x1~ WITH FIRE PLACE AND WASHERS & DRYERS,2017-03-17 13:32,1305.0,https://seattle.craigslist.org/reply/sea/apa/6048317017,,seattle,https://seattle.craigslist.org/sno/apa/6048317017.html,6048317017
17,2.0,ONLY 2 left to move in APRIL,2017-03-17 13:32,1220.0,https://seattle.craigslist.org/reply/sea/apa/6048316690,984.0,seattle,https://seattle.craigslist.org/tac/apa/6048316690.html,6048316690
